# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
334.6080,8717,
334.7080,8324,
334.8080,6643,
334.9080,578,
335.0080,6339,
335.1080,6972,
335.2080,1094,
335.3080,5084,
335.4080,1818,
335.5080,8242,
335.6080,2363,
335.7080,8718,
335.8080,5398,
335.9080,2107,
336.0080,1401,
336.1080,2057,
336.1120,1387,Ti+ P
336.2120,2390,
336.3120,8633,
336.4120,9353,
336.5120,8744,
336.6120,2333,
336.7120,763,
336.8120,3730,
336.9120,3379,
337.0120,7433,
337.1120,4947,
337.2120,578,
337.3120,6785,
337.4120,5401,
337.5120,7819,
337.6120,7923,
337.7120,7350,
337.8120,8318,
337.9120,7924,
338.0120,567,
338.1120,2106,
338.2120,8145,
338.3120,8866,
338.4120,6897,
338.5120,8831,
338.6120,8633,
338.7120,8656,
338.8120,5066,
338.9120,6956,
339.0120,7906,
339.1120,2074,
339.2120,4213,
339.3120,1409,
339.4120,6981,
339.5120,8076,
339.6120,7019,
339.7120,8918,
339.8120,9546,
339.9120,7612,
340.0120,7722,
340.1120,7021,
340.2120,6814,
340.3120,8135,
340.4120,7725,
340.5120,311,
340.6120,5437,
340.7120,7720,
340.8120,6982,
340.9120,4385,
341.0120,7093,
341.1120,2303,
341.2120,8455,
341.3120,585,
341.4120,5395,
341.5120,4968,
341.6120,8286,
341.7120,3265,
341.8120,6001,
341.9120,4081,
342.0120,6798,
342.1120,7103,
342.2120,2028,
342.3120,7598,
342.4120,7470,
342.5120,8362,
342.6120,7619,
342.7120,373,
342.8120,6318,
342.9120,8172,
343.0120,8320,
343.1120,8659,
343.2120,6712,
343.3120,5449,
343.4120,3481,
343.5120,8545,
343.6120,3146,
343.7120,3070,
343.8120,6857,
343.9120,7315,
344.0120,3846,
344.1120,1403,
344.2120,2229,
344.3120,6876,
344.4120,5170,
344.5120,1339,
344.6120,2336,
344.7120,7185,
344.8120,6523,
344.9120,3718,
345.0120,6124,
345.1120,7541,
345.2120,8062,
345.3120,4730,
345.4120,6932,
345.5120,7936,
345.6120,6996,
345.7120,3310,
345.8120,3049,
345.9120,6883,
346.0120,5476,
346.1120,5526,
346.2120,7016,
346.3120,7824,
346.4120,3633,
346.5120,8665,
346.6120,4999,
346.7120,7090,
346.8120,8043,
346.9120,8454,
347.0120,8934,
347.1120,7573,
347.2120,5935,
347.3120,8675,
347.4120,699,
347.5120,2035,
347.6120,7325,
347.7120,4300,
347.8120,8729,
347.9120,8212,
348.0120,7125,
348.1120,5209,
348.2120,7515,
348.3120,6908,
348.4120,4483,
348.5120,2550,
348.6120,6669,
348.7120,8391,
348.8120,8248,
348.9120,4878,
349.0120,5230,
349.1120,5036,
349.2120,6891,
349.3120,2234,
349.4120,6877,
349.5120,9062,
349.6120,6833,
349.7120,554,
349.8120,4706,
349.9120,5309,
350.0120,8103,
350.1120,8523,
350.2120,8508,
350.3120,8697,
350.4120,9481,
350.5120,5887,
350.6120,8796,
350.7120,3988,
350.8120,8698,
350.9120,1664,
351.0120,6118,
351.1120,8569,
351.2120,6351,
351.3120,7418,
351.4120,7065,
351.5120,1060,
351.6120,8672,
351.7120,8334,
351.8120,9400,
351.9120,8674,
352.0120,4475,
352.1120,4992,
352.2120,8249,
352.3120,7537,
352.4120,3348,
352.5120,5841,
352.6120,1425,
352.7120,5801,
352.8120,9024,
352.9120,8371,
353.0120,8465,
353.1120,9291,
353.2120,785,
353.3120,4168,
353.4120,8844,
353.5120,9076,
353.6120,8782,
353.7120,9074,
353.8120,8907,
353.9120,9094,
354.0120,766,
354.1120,1068,
354.2120,1577,
354.3120,7976,
354.4120,8237,
354.5120,8554,
354.6120,8877,
354.7120,7777,
354.8120,4887,
354.9120,9028,
355.0120,8215,
355.1120,2853,
355.2120,1631,
355.3120,7015,
355.4120,617,
355.5120,5297,
355.6120,8479,
355.7120,7160,
355.8120,6948,
355.9120,6894,
356.0120,7321,
356.1120,7464,
356.2120,6703,
356.3120,8364,
356.4120,1282,
356.5120,3417,
356.6120,3089,
